file,snr,maxSilence,minimumAudioLength,energyWindow4Analysis,pitchWindow4Analysis,featurewindowsize,featurewindowshift,minNFeaturesInCluster,nClasses,nhidden,minibatch,nEpochs,accuracy,precision,recall,f1,tp,tn,fp,fn,kappa,kappa_lk,kappa_f
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633991,0.5,5,0.1,0.1,0.3,0.1,5,2,3,150,2,0.809834934,0.627071931,0.714024307,0.667729262,1272080,4119324,756523,509484,0.535313723,Moderate,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8303699441119078,0.6435982076064448,0.8204644907508234,0.721348172102814,1461710,4066404,809443,319854,0.6019633050037461,Substantial,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8747520620253129,0.7296004666931216,0.8452180219178205,0.7831651300876076,1505810,4317774,558073,275754,0.6957758999055528,Substantial,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8747520620253129,0.7296004666931216,0.8452180219178205,0.7831651300876076,1505810,4317774,558073,275754,0.6957758999055528,Substantial,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8098349343310786,0.6270719307819224,0.714024306732736,0.6677292622606831,1272080,4119324,756523,509484,0.5353137227630828,Moderate,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8098349343310786,0.6270719307819224,0.714024306732736,0.6677292622606831,1272080,4119324,756523,509484,0.5353137227630828,Moderate,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8098349343310786,0.6270719307819224,0.714024306732736,0.6677292622606831,1272080,4119324,756523,509484,0.5353137227630828,Moderate,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8098349343310786,0.6270719307819224,0.714024306732736,0.6677292622606831,1272080,4119324,756523,509484,0.5353137227630828,Moderate,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8098349343310786,0.6270719307819224,0.714024306732736,0.6677292622606831,1272080,4119324,756523,509484,0.5353137227630828,Moderate,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8747520620253129,0.7296004666931216,0.8452180219178205,0.7831651300876076,1505810,4317774,558073,275754,0.6957758999055528,Substantial,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8747520620253129,0.7296004666931216,0.8452180219178205,0.7831651300876076,1505810,4317774,558073,275754,0.6957758999055528,Substantial,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8747520620253129,0.7296004666931216,0.8452180219178205,0.7831651300876076,1505810,4317774,558073,275754,0.6957758999055528,Substantial,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8098349343310786,0.6270719307819224,0.714024306732736,0.6677292622606831,1272080,4119324,756523,509484,0.5353137227630828,Moderate,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8098349343310786,0.6270719307819224,0.714024306732736,0.6677292622606831,1272080,4119324,756523,509484,0.5353137227630828,Moderate,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.732393568610981,0.25,5.613045616099113E-7,1.1226066027229946E-6,1,4875844,3,1781563,-7.90591306359692E-8,Poor,Poor
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8098349343310786,0.6270719307819224,0.714024306732736,0.6677292622606831,1272080,4119324,756523,509484,0.5353137227630828,Moderate,Good
C:\Users\Utente\Ricerca\Experiments\NINA Infant Cry\SUB\SUB1\SUB1.wav,30.00633990880349,0.5,5.0,0.1,0.1,0.3,0.1,5,2,3,150,2,0.8747520620253129,0.7296004666931216,0.8452180219178205,0.7831651300876076,1505810,4317774,558073,275754,0.6957758999055528,Substantial,Good
